PurchaseOrder,PurchaseOrderItem,PostingDate,PlantCode,MaterialCode,MaterialDescription,Quantity,Unit,NetAmount,Currency,VendorCode
450010000,20,01-01-2026,BLR01,MAT-DIESEL-001,Diesel Fuel,260,L,23400,INR,VEND003
450010001,40,04-01-2026,CHE01,MAT-SAFETY-001,Safety Equipment,1000,KG,120000,INR,VEND001
450010002,10,07-01-2026,HYD01,MAT-DIESEL-001,Diesel Fuel,200,L,18000,INR,VEND004
450010003,30,10-01-2026,MUM01,MAT-SAFETY-001,Safety Equipment,100,L,90000,INR,VEND001
450010004,30,13-01-2026,DEL01,MAT-DIESEL-002,Diesel Generator Fuel,450,LITER,43200,INR,VEND003
450010005,40,16-01-2026,PUN01,MAT-PACK-001,Packaging Material,50,BOX,6000,INR,VEND002
450010006,10,19-01-2026,BLR01,MAT-DIESEL-003,Industrial Diesel,900,LITRE,86400,INR,VEND008
450010007,30,22-01-2026,CHE01,MAT-MACHINE-001,Machine Components,400,KG,48000,INR,VEND006
450010008,20,25-01-2026,HYD01,MAT-DIESEL-002,Diesel Generator Fuel,120,LITER,10200,INR,VEND005
450010009,30,28-01-2026,MUM01,MAT-STEEL-001,Steel Sheets,50,EA,45000,INR,VEND008
450010010,20,01-02-2026,CHE01,MAT-DIESEL-003,Industrial Diesel,320,L,30720,INR,VEND005
450010011,20,04-02-2026,HYD01,MAT-SAFETY-001,Safety Equipment,1500,KG,375000,INR,VEND003
450010012,30,07-02-2026,MUM01,MAT-DIESEL-004,Premium Diesel,260,LITRE,23400,INR,VEND001
450010013,30,10-02-2026,DEL01,MAT-PACK-001,Packaging Material,250,KG,225000,INR,VEND002
450010014,40,13-02-2026,PUN01,MAT-DIESEL-002,Diesel Generator Fuel,320,LITER,28800,INR,VEND007
450010015,20,16-02-2026,BLR01,MAT-SAFETY-001,Safety Equipment,75,L,36000,INR,VEND004
450010016,40,19-02-2026,CHE01,MAT-DIESEL-003,Industrial Diesel,900,LITER,91800,INR,VEND006
450010017,10,22-02-2026,HYD01,MAT-PACK-001,Packaging Material,1000,EA,900000,INR,VEND001
450010018,10,25-02-2026,MUM01,MAT-DIESEL-001,Diesel Fuel,150,L,15300,INR,VEND007
450010019,10,28-02-2026,DEL01,MAT-CHEM-001,Industrial Chemicals,1000,L,480000,INR,VEND002
450010020,30,01-03-2026,HYD01,MAT-DIESEL-003,Industrial Diesel,320,LITER,27200,INR,VEND007
450010021,20,04-03-2026,MUM01,MAT-PACK-001,Packaging Material,20,L,9600,INR,VEND002
450010022,20,07-03-2026,DEL01,MAT-DIESEL-003,Industrial Diesel,750,LITER,67500,INR,VEND006
450010023,40,10-03-2026,PUN01,MAT-PACK-001,Packaging Material,1500,KG,720000,INR,VEND001
450010024,10,13-03-2026,BLR01,MAT-DIESEL-001,Diesel Fuel,260,LITRE,23400,INR,VEND004
450010025,10,16-03-2026,CHE01,MAT-MACHINE-001,Machine Components,50,KG,45000,INR,VEND003
450010026,30,19-03-2026,HYD01,MAT-DIESEL-002,Diesel Generator Fuel,600,LITER,54000,INR,VEND007
450010027,30,22-03-2026,MUM01,MAT-PACK-001,Packaging Material,150,EA,135000,INR,VEND008
450010028,10,25-03-2026,DEL01,MAT-DIESEL-004,Premium Diesel,200,L,18000,INR,VEND006
450010029,10,28-03-2026,PUN01,MAT-STEEL-001,Steel Sheets,1500,EA,375000,INR,VEND002
450010030,30,01-04-2026,MUM01,MAT-DIESEL-001,Diesel Fuel,120,L,10200,INR,VEND002
450010031,20,04-04-2026,DEL01,MAT-MACHINE-001,Machine Components,150,EA,135000,INR,VEND003
450010032,20,07-04-2026,PUN01,MAT-DIESEL-004,Premium Diesel,600,L,61200,INR,VEND002
450010033,40,10-04-2026,BLR01,MAT-STEEL-001,Steel Sheets,250,L,225000,INR,VEND008
450010034,40,13-04-2026,CHE01,MAT-DIESEL-001,Diesel Fuel,120,LITER,10200,INR,VEND006
450010035,40,16-04-2026,HYD01,MAT-STEEL-001,Steel Sheets,100,EA,25000,INR,VEND003
450010036,20,19-04-2026,MUM01,MAT-DIESEL-004,Premium Diesel,260,L,26520,INR,VEND002
450010037,10,22-04-2026,DEL01,MAT-CHEM-001,Industrial Chemicals,20,KG,24000,INR,VEND002
450010038,40,25-04-2026,PUN01,MAT-DIESEL-002,Diesel Generator Fuel,450,L,45900,INR,VEND004
450010039,10,28-04-2026,BLR01,MAT-CHEM-001,Industrial Chemicals,75,KG,67500,INR,VEND007
450010040,40,01-05-2026,DEL01,MAT-DIESEL-003,Industrial Diesel,260,LITRE,26520,INR,VEND003
450010041,10,04-05-2026,PUN01,MAT-PACK-001,Packaging Material,100,BOX,12000,INR,VEND006
450010042,20,07-05-2026,BLR01,MAT-DIESEL-001,Diesel Fuel,900,L,91800,INR,VEND001
450010043,10,10-05-2026,CHE01,MAT-MACHINE-001,Machine Components,75,KG,9000,INR,VEND004
450010044,10,13-05-2026,HYD01,MAT-DIESEL-004,Premium Diesel,900,L,81000,INR,VEND002
450010045,30,16-05-2026,MUM01,MAT-CHEM-001,Industrial Chemicals,150,BOX,37500,INR,VEND004
450010046,40,19-05-2026,DEL01,MAT-DIESEL-003,Industrial Diesel,150,LITRE,14400,INR,VEND006
450010047,10,22-05-2026,PUN01,MAT-STEEL-001,Steel Sheets,600,KG,720000,INR,VEND002
450010048,30,25-05-2026,BLR01,MAT-DIESEL-002,Diesel Generator Fuel,260,LITER,23400,INR,VEND002
450010049,40,28-05-2026,CHE01,MAT-PACK-001,Packaging Material,150,BOX,37500,INR,VEND005
450010050,10,01-06-2026,PUN01,MAT-DIESEL-001,Diesel Fuel,750,LITER,72000,INR,VEND003
450010051,20,04-06-2026,BLR01,MAT-OFFICE-001,Office Equipment,50,KG,60000,INR,VEND005
450010052,20,07-06-2026,CHE01,MAT-DIESEL-003,Industrial Diesel,200,LITER,19200,INR,VEND005
450010053,10,10-06-2026,HYD01,MAT-MACHINE-001,Machine Components,150,L,18000,INR,VEND007
450010054,20,13-06-2026,MUM01,MAT-DIESEL-003,Industrial Diesel,80,L,7680,INR,VEND005
450010055,10,16-06-2026,DEL01,MAT-PACK-001,Packaging Material,1000,L,900000,INR,VEND002
450010056,30,19-06-2026,PUN01,MAT-DIESEL-001,Diesel Fuel,150,LITER,12750,INR,VEND003
450010057,30,22-06-2026,BLR01,MAT-CHEM-001,Industrial Chemicals,20,EA,9600,INR,VEND001
450010058,30,25-06-2026,CHE01,MAT-DIESEL-003,Industrial Diesel,200,L,17000,INR,VEND007
450010059,20,28-06-2026,HYD01,MAT-MACHINE-001,Machine Components,100,EA,25000,INR,VEND007
