PurchaseOrder,PurchaseOrderItem,PostingDate,PlantCode,MaterialCode,MaterialDescription,Quantity,Unit,NetAmount,Currency,VendorCode
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,80,L,8500,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,75,L,8500,INR,VEND001
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,247,L,4200,INR,VEND002
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,232,L,4200,INR,VEND002
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,57,KG,120000,INR,VEND003
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,65,KG,120000,INR,VEND003
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,133,L,17000,INR,VEND001
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,210,L,17000,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,69,L,8500,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,101,L,8500,INR,VEND001
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,262,L,4200,INR,VEND002
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,214,L,4200,INR,VEND002
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,300,KG,120000,INR,VEND003
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,226,KG,120000,INR,VEND003
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,240,L,17000,INR,VEND001
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,242,L,17000,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,80,L,8500,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,155,L,8500,INR,VEND001
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,150,L,4200,INR,VEND002
450000002,20,03-05-2026,PUN01,LUBE001,Lubricant Oil,296,L,4200,INR,VEND002
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,265,KG,120000,INR,VEND003
450000003,10,05-05-2026,BLR01,STEEL001,Steel Raw Material,137,KG,120000,INR,VEND003
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,168,L,17000,INR,VEND001
450000004,30,06-05-2026,PUN01,DIESEL001,Diesel Fuel,232,L,17000,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,296,L,8500,INR,VEND001
450000001,10,01-05-2026,BLR01,DIESEL001,Diesel Fuel,95,L,8500,INR,VEND001
